sentence_id_ai,speech_id,electoral_term,session,party,first_name,last_name,date,topic,combined_text,combined_text_preprocessed
75909,734895,17,27,SPD,lars,klingbeil,2010-03-04,Policy,"Ich bin froh, dass es meiner Partei zusammen mit den Grünen gelungen ist, diesen Bereich in die Enquete-Kommission aufzunehmen. Ich halte es für einen Fortschritt, dass wir in der Enquete-Kommission Themen wie Open Data oder OpenGovernment-Strategien diskutieren.",froh partei zusammen grünen gelungen bereich enquetekommission aufzunehmen halte fortschritt enquetekommission themen open data opengovernmentstrategien diskutieren
117083,737749,17,37,CDU/CSU,clemens,binninger,2010-04-22,Security,"Der Antrag der SPD zum Verhandlungsmandat, der heute vorgelegt wird, enthält indes nicht viel Neues. Eine ganze Reihe von Forderungen wurde schon auf Basis des alten Abkommens berücksichtigt, etwa die enge Beschränkung auf Zwecke der Terrorismusbekämpfung, das Vorliegen eines begründeten Verdachts, das Verbot von Data-Mining, kein Zugriff auf Daten von sogenannten SEPA-Zahlungen.",spd verhandlungsmandat heute vorgelegt enthält indes neues ganze reihe forderungen wurde basis alten abkommens berücksichtigt etwa enge beschränkung zwecke terrorismusbekämpfung vorliegen begründeten verdachts verbot datamining zugriff daten sogenannten sepazahlungen
180712,741925,17,55,Grüne,konstantin,notz,2010-07-08,Policy,"Hier scheint es in der Tat so, als werde der Bock zum Gärtner gemacht. In dem jetzt ausgehandelten Abkommen werden nach wie vor sogenannte Bulk Data, also ganze Datenpakete, übermittelt.",scheint tat bock gärtner gemacht ausgehandelten abkommen sogenannte bulk data ganze datenpakete übermittelt
185262,742171,17,57,CDU/CSU,eckhardt,rehberg,2010-09-14,Science,"Im Bildungsbericht der OECD wurde festgestellt, dass 80 Prozent der Schüler ohne Schulabschluss in Übergangssystemen landen. Herr Rossmann, zu dem Gedanken, den Sie im Zusammenhang mit dem Hauptschulabschluss geäußert haben, sage ich Ihnen: Es muss nicht etwa ein Rechtsanspruch her, sondern man braucht intelligente Systeme für Jugendliche, die keinen Schulabschluss erwerben, aus welchem Grund auch immer.",bildungsbericht oecd wurde festgestellt prozent schüler schulabschluss übergangssystemen landen rossmann gedanken zusammenhang hauptschulabschluss geäußert sage etwa rechtsanspruch her braucht intelligente systeme jugendliche schulabschluss erwerben grund immer
333401,752306,17,94,CDU/CSU,peter,tauber,2011-02-25,Policy,"Man kann die Liste beliebig fortführen. Open Data, E-Government und Medienkompetenz sind weitere Stichworte.",liste beliebig fortführen open data egovernment medienkompetenz weitere stichworte
399655,756944,17,114,CDU/CSU,norbert,röttgen,2011-06-09,Economy,"Neu ist schließlich die Chance auf einen Konsens. Wir brauchen diesen Konsens, weil es eine nationale Pioniertat ist, für die wir alle brauchen: die Wissenschaft, die Wirtschaft, die Mittelständler, die großen Unternehmen, die Kommunen, die Länder, den Bund und auch die Bürger, die mitmachen, die sich in Energiegenossenschaften zusammenschließen und Energieerzeuger werden, die nicht nur passive Verbraucher sind, sondern über intelligente Systeme und Zähler selber bestimmen können, wann sie welchen Strom verbrauchen.",neu schließlich chance konsens brauchen konsens nationale pioniertat brauchen wissenschaft wirtschaft mittelständler großen unternehmen kommunen länder bund bürger mitmachen energiegenossenschaften zusammenschließen energieerzeuger passive verbraucher intelligente systeme zähler selber bestimmen wann strom verbrauchen
554763,766763,17,150,FDP,erik,schweickert,2011-12-16,Security,"Wir müssen auch gesetzliche Vorgaben machen, wenn erhebliche Verletzungen des Persönlichkeitsrechtes festzustellen oder zu befürchten sind, also zum Beispiel in Bezug auf die Wirksamkeit der Einwilligung der Betroffenen hinsichtlich der Tragweite, der Freiwilligkeit und der Informiertheit. Außerdem spielen Themen wie Profilbildung und Data-Mining eine Rolle; hier müssen wir tätig werden.",müssen gesetzliche vorgaben erhebliche verletzungen persönlichkeitsrechtes festzustellen befürchten beispiel bezug wirksamkeit einwilligung betroffenen hinsichtlich tragweite freiwilligkeit informiertheit außerdem spielen themen profilbildung datamining rolle müssen tätig
563349,767386,17,153,SPD,lars,klingbeil,2012-01-20,Policy,"Fehlanzeige! Initiativen zur Weiterentwicklung des Informationsfreiheitsgesetzes, zu Open Data?",fehlanzeige initiativen weiterentwicklung informationsfreiheitsgesetzes open data
563476,767392,17,153,Grüne,konstantin,notz,2012-01-20,Policy,"Ich freue mich besonders, dass wir unserem Anspruch, den fundamentalen Umbrüchen mit entsprechend progressiven Ansätzen zu begegnen, ganz überwiegend gerecht werden, sowohl beim Datenschutz als auch bei der Netzneutralität, bei Fragen der Medienkompetenz und beim Urheberrecht. Wer hätte am Anfang der Arbeit dieser Enquete-Kommission gedacht, dass sich der Deutsche Bundestag fraktionsübergreifend einsetzt gegen Netzsperren, für mehr Open Data, für verbessertes E-Government, für mehr Open-Source-Lösungen, für mehr Creative-Commons-Modelle, für die Privatkopierregelung bei Downloads, für die Netzneutralität und für eine grundlegende Weiterentwicklung des bestehenden Urheberrechts?",freue besonders anspruch fundamentalen umbrüchen entsprechend progressiven ansätzen begegnen ganz überwiegend gerecht sowohl beim datenschutz netzneutralität fragen medienkompetenz beim urheberrecht wer hätte anfang arbeit enquetekommission gedacht deutsche bundestag fraktionsübergreifend einsetzt netzsperren mehr open data verbessertes egovernment mehr opensourcelösungen mehr creativecommonsmodelle privatkopierregelung downloads netzneutralität grundlegende weiterentwicklung bestehenden urheberrechts
571850,768068,17,155,Grüne,konstantin,notz,2012-01-26,Policy,"Genau diese Frage ist eine Schlüsselfrage unserer modernen, fast schon postindustriellen Gesellschaft. Die DDB steht dabei in einem Kontext mit den Diskussionen über Open Data, Open Access und Public Sector Information.",frage schlüsselfrage unserer modernen postindustriellen gesellschaft ddb steht kontext diskussionen open data open access public sector information
