sentence_id_ai,speech_id,electoral_term,session,party,first_name,last_name,date,topic,combined_text,combined_text_preprocessed,tech_sentiment,guhr_sentiment
2548387,1054691,19,209,AfD,uwe,schulz,2021-02-11,Policy,"Denn wenn Sie eines wirklich gut können, dann ist das ja, noch ’ne Behörde, noch ’nen Beauftragten zu schaffen und noch ’ne Entscheidungsebene mehr einzufügen. Was uns im Konzept der Datenstrategie fehlt, ist eine transparente Darstellung der zeitlichen und technischen Abhängigkeiten der aufgeführten Maßnahmen.",’ne behörde ’nen beauftragten schaffen ’ne entscheidungsebene mehr einzufügen konzept datenstrategie fehlt transparente darstellung zeitlichen technischen abhängigkeiten aufgeführten maßnahmen,neutral,neutral
2548392,1054691,19,209,AfD,uwe,schulz,2021-02-11,Policy,"Wir kennen das auch aus dem Zuständigkeitswirrwarr Ihrer digitalen Agenda, wo auch der Grundsatz vorherrscht: Wenn du verschleiern willst, dann verwirre und maximiere die Anzahl der eingebundenen Schnittstellen. Außerdem hätten wir uns gewünscht, dass die Datenstrategie umfangreicher auf die Besonderheiten im Umgang mit marktbeherrschenden Unternehmen eingeht.",kennen zuständigkeitswirrwarr digitalen agenda grundsatz vorherrscht verschleiern willst verwirre maximiere anzahl eingebundenen schnittstellen außerdem hätten gewünscht datenstrategie umfangreicher besonderheiten umgang marktbeherrschenden unternehmen eingeht,negative,neutral
2548407,1054691,19,209,AfD,uwe,schulz,2021-02-11,Policy,Ich komme zum Schluss. Alles in allem erhält die Datenstrategie der Bundesregierung wichtige und richtige Ansätze.,komme schluss erhält datenstrategie bundesregierung wichtige richtige ansätze,positive,neutral
2548441,1054693,19,209,SPD,saskia,esken,2021-02-11,Policy,"Die Daten eines Baumkatasters können nicht nur vom Gartenamt zur Planung des Baumschnitts genutzt werden, sie können auch Allergikern dabei helfen, ein allergiearmes Wohnumfeld zu finden. Die Bundesregierung verfolgt mit ihrer Datenstrategie das Ziel, eine Kultur des Teilens solcher nicht personenbezogener Daten entstehen zu lassen.",daten baumkatasters gartenamt planung baumschnitts genutzt allergikern helfen allergiearmes wohnumfeld finden bundesregierung verfolgt datenstrategie ziel kultur teilens personenbezogener daten entstehen lassen,neutral,neutral
2548444,1054693,19,209,SPD,saskia,esken,2021-02-11,Policy,"Im Gegenteil sind Datenschutz, ‑privatheit und ‑souveränität unabdingbare Voraussetzungen für eine offene Datenkultur, die nur durch Vertrauen und klare Regeln entstehen kann. Wir haben lange um diese Datenstrategie gerungen; das stimmt schon.",gegenteil datenschutz ‑privatheit ‑souveränität unabdingbare voraussetzungen offene datenkultur vertrauen klare regeln entstehen lange datenstrategie gerungen stimmt,neutral,neutral
2548446,1054693,19,209,SPD,saskia,esken,2021-02-11,Policy,"Wir haben kluge Expertinnen und Experten in einer Datenethikkommission versammelt und dann lange debattiert. Im letzten Halbjahr unserer Legislatur gehen wir damit jetzt auf die Ziellinie zusammen mit dem zweiten Open-Data-Gesetz, das die Behörden des Bundes weiter als bislang verpflichtet und hoffentlich auch befähigt, ihre Daten offenzulegen.",kluge expertinnen experten datenethikkommission versammelt lange debattiert letzten halbjahr unserer legislatur gehen ziellinie zusammen zweiten opendatagesetz behörden bundes bislang verpflichtet hoffentlich befähigt daten offenzulegen,neutral,neutral
2548447,1054693,19,209,SPD,saskia,esken,2021-02-11,Policy,"Im letzten Halbjahr unserer Legislatur gehen wir damit jetzt auf die Ziellinie zusammen mit dem zweiten Open-Data-Gesetz, das die Behörden des Bundes weiter als bislang verpflichtet und hoffentlich auch befähigt, ihre Daten offenzulegen. Diese Datenstrategie enthält längst nicht alles, was die Sozialdemokratie für eine fortschrittliche, für eine gerechte Datenpolitik für erforderlich hält.",letzten halbjahr unserer legislatur gehen ziellinie zusammen zweiten opendatagesetz behörden bundes bislang verpflichtet hoffentlich befähigt daten offenzulegen datenstrategie enthält längst sozialdemokratie fortschrittliche gerechte datenpolitik erforderlich hält,negative,neutral
2548457,1054695,19,209,FDP,manuel,höferlin,2021-02-11,Policy,"– Es gibt Fragen über Fragen, die sich im Umgang mit Daten stellen, die regelrecht nach Antworten suchen. Sie, liebe Bundesregierung, haben eine Datenstrategie vorgelegt, die leider 250 zusammenhanglose Maßnahmen, aber keine Projektsteuerung enthält.",– gibt fragen fragen umgang daten stellen regelrecht antworten suchen bundesregierung datenstrategie vorgelegt zusammenhanglose maßnahmen projektsteuerung enthält,negative,neutral
2548468,1054695,19,209,FDP,manuel,höferlin,2021-02-11,Policy,"Das finden wir aber in Ihrer Strategie nicht, meine Damen und Herren. „Was würden Sie von einer Datenstrategie beim Umgang mit Daten erwarten?“, habe ich Menschen in meinem Umfeld gefragt.",finden strategie „was datenstrategie beim umgang daten erwarten“ menschen umfeld gefragt,negative,negative
2548478,1054695,19,209,FDP,manuel,höferlin,2021-02-11,Policy,"Die Antwort darauf ist völlig unklar. Das ist ein wesentlicher Punkt, der geklärt werden muss und der auch in der Datenstrategie nicht drinsteht.",völlig unklar wesentlicher punkt geklärt datenstrategie drinsteht,negative,neutral
